Order ID,Order Date,Customer ID,Country,Region,Category,Sub-Category,Sales,Quantity,Profit,lat,lon
ORD-00001,2024-03-16,CUS-0116,France,Europe,Groceries,Snacks,32.08,2,5.67,46.23,2.21
ORD-00002,2023-04-20,CUS-0342,Canada,North America,Groceries,Beverage,39.5,5,1.32,56.13,-106.35
ORD-00003,2024-12-17,CUS-0026,Singapore,APAC,Groceries,Beverage,65.56,4,10.52,1.35,103.82
ORD-00004,2024-08-15,CUS-0288,France,Europe,Groceries,Fresh Produce,5.0,1,-0.42,46.23,2.21
ORD-00005,2025-11-02,CUS-0326,India,APAC,Groceries,Beverage,89.04,4,7.58,20.59,78.96
ORD-00006,2025-01-15,CUS-0355,Japan,APAC,Groceries,Dairy,52.95,3,5.16,36.2,138.25
ORD-00007,2023-09-18,CUS-0346,India,APAC,Electronics,Laptop,3412.35,5,88.62,20.59,78.96
ORD-00008,2024-07-01,CUS-0272,Canada,North America,Electronics,Headphone,977.79,3,235.68,56.13,-106.35
ORD-00009,2024-08-01,CUS-0185,United Kingdom,Europe,Electronics,Laptop,696.2,2,126.46,55.38,-3.44
ORD-00010,2025-03-15,CUS-0096,Nigeria,Africa,Electronics,Camera,1638.96,4,122.39,9.08,8.68
ORD-00011,2024-08-11,CUS-0380,Japan,APAC,Electronics,Phone,1171.84,4,-64.04,36.2,138.25
ORD-00012,2024-12-07,CUS-0386,South Africa,Africa,Electronics,Headphone,386.8,2,6.7,-30.56,22.94
ORD-00013,2025-01-05,CUS-0391,South Africa,Africa,Fashion,Shoes,40.1,1,6.25,-30.56,22.94
ORD-00014,2025-08-06,CUS-0227,India,APAC,Electronics,Headphone,1526.75,5,11.25,20.59,78.96
ORD-00015,2025-03-15,CUS-0183,Brazil,LATAM,Electronics,Headphone,509.11,1,-38.66,-14.24,-51.93
ORD-00016,2024-04-16,CUS-0233,United States,North America,Groceries,Dairy,83.05,5,-4.88,37.09,-95.71
ORD-00017,2023-03-20,CUS-0396,Vietnam,APAC,Electronics,Camera,576.28,2,56.87,14.06,108.28
ORD-00018,2024-01-31,CUS-0215,Japan,APAC,Electronics,Headphone,826.48,2,64.87,36.2,138.25
ORD-00019,2024-08-02,CUS-0283,India,APAC,Home & Furniture,Table,534.45,5,37.46,20.59,78.96
ORD-00020,2024-03-17,CUS-0167,Nigeria,Africa,Groceries,Beverage,17.96,2,4.19,9.08,8.68
ORD-00021,2024-03-09,CUS-0317,Japan,APAC,Groceries,Snacks,76.7,5,25.58,36.2,138.25
ORD-00022,2025-06-27,CUS-0044,Germany,Europe,Electronics,Camera,1533.56,4,228.86,51.17,10.45
ORD-00023,2024-10-15,CUS-0020,Canada,North America,Electronics,Laptop,1889.64,3,49.95,56.13,-106.35
ORD-00024,2024-09-21,CUS-0224,Vietnam,APAC,Fashion,Accessories,84.6,2,0.27,14.06,108.28
ORD-00025,2024-11-01,CUS-0028,United States,North America,Fashion,Shirt,155.62,2,-9.77,37.09,-95.71
ORD-00026,2025-01-31,CUS-0286,United Kingdom,Europe,Home & Furniture,Lamp,133.07,1,9.25,55.38,-3.44
ORD-00027,2023-02-25,CUS-0282,Japan,APAC,Groceries,Snacks,82.8,5,28.85,36.2,138.25
ORD-00028,2023-04-22,CUS-0023,France,Europe,Electronics,Phone,1498.98,3,35.42,46.23,2.21
ORD-00029,2024-09-03,CUS-0260,Canada,North America,Home & Furniture,Chair,729.21,3,28.07,56.13,-106.35
ORD-00030,2024-01-28,CUS-0054,Singapore,APAC,Fashion,Shirt,461.05,5,82.59,1.35,103.82
ORD-00031,2024-08-23,CUS-0066,South Africa,Africa,Groceries,Fresh Produce,19.58,2,1.11,-30.56,22.94
ORD-00032,2025-01-05,CUS-0166,India,APAC,Electronics,Camera,197.16,2,62.49,20.59,78.96
ORD-00033,2023-12-30,CUS-0330,India,APAC,Electronics,Camera,156.06,3,-5.86,20.59,78.96
ORD-00034,2025-02-15,CUS-0008,Germany,Europe,Fashion,Accessories,271.75,5,-3.66,51.17,10.45
ORD-00035,2024-03-23,CUS-0277,Mexico,LATAM,Electronics,Laptop,622.84,2,131.22,23.63,-102.55
ORD-00036,2024-01-24,CUS-0073,India,APAC,Home & Furniture,Chair,268.41,1,6.6,20.59,78.96
ORD-00037,2023-08-03,CUS-0257,France,Europe,Fashion,Shirt,129.22,2,30.54,46.23,2.21
ORD-00038,2023-01-26,CUS-0014,France,Europe,Groceries,Dairy,35.66,2,3.61,46.23,2.21
ORD-00039,2024-12-22,CUS-0227,India,APAC,Groceries,Fresh Produce,15.45,1,4.65,20.59,78.96
ORD-00040,2024-12-30,CUS-0212,United Kingdom,Europe,Electronics,Camera,747.65,1,115.14,55.38,-3.44
ORD-00041,2024-10-28,CUS-0042,Japan,APAC,Electronics,Phone,881.15,5,-27.5,36.2,138.25
ORD-00042,2023-03-06,CUS-0112,United Kingdom,Europe,Fashion,Shoes,140.76,3,-12.92,55.38,-3.44
ORD-00043,2024-12-25,CUS-0229,Germany,Europe,Fashion,Accessories,127.86,3,34.44,51.17,10.45
ORD-00044,2023-11-23,CUS-0194,Brazil,LATAM,Groceries,Fresh Produce,31.29,3,-0.32,-14.24,-51.93
ORD-00045,2023-05-08,CUS-0020,Canada,North America,Electronics,Camera,845.4,1,55.93,56.13,-106.35
ORD-00046,2023-05-28,CUS-0010,Japan,APAC,Electronics,Headphone,237.98,1,57.62,36.2,138.25
ORD-00047,2023-03-09,CUS-0399,South Africa,Africa,Fashion,Shoes,248.6,4,69.32,-30.56,22.94
ORD-00048,2023-07-29,CUS-0328,Vietnam,APAC,Groceries,Snacks,19.45,1,5.73,14.06,108.28
ORD-00049,2024-05-16,CUS-0089,India,APAC,Home & Furniture,Storage,167.73,1,0.75,20.59,78.96
ORD-00050,2024-03-04,CUS-0225,Vietnam,APAC,Groceries,Fresh Produce,44.58,2,-1.66,14.06,108.28
ORD-00051,2025-02-04,CUS-0015,United States,North America,Groceries,Snacks,122.5,5,1.45,37.09,-95.71
ORD-00052,2024-10-21,CUS-0289,Germany,Europe,Home & Furniture,Storage,669.05,5,95.63,51.17,10.45
ORD-00053,2024-07-15,CUS-0157,Mexico,LATAM,Groceries,Dairy,69.39,3,11.77,23.63,-102.55
ORD-00054,2025-06-19,CUS-0148,Vietnam,APAC,Groceries,Beverage,33.36,2,5.84,14.06,108.28
ORD-00055,2023-03-14,CUS-0111,Germany,Europe,Fashion,Accessories,228.42,3,52.86,51.17,10.45
ORD-00056,2023-11-14,CUS-0296,United Kingdom,Europe,Electronics,Laptop,1156.3,5,81.74,55.38,-3.44
ORD-00057,2023-12-19,CUS-0309,Vietnam,APAC,Electronics,Laptop,57.36,2,6.68,14.06,108.28
ORD-00058,2024-02-22,CUS-0347,Vietnam,APAC,Electronics,Camera,528.71,1,132.82,14.06,108.28
ORD-00059,2024-06-19,CUS-0150,United States,North America,Home & Furniture,Storage,603.4,4,84.95,37.09,-95.71
ORD-00060,2025-06-09,CUS-0360,Japan,APAC,Electronics,Headphone,1541.05,5,107.84,36.2,138.25
ORD-00061,2024-02-28,CUS-0144,France,Europe,Fashion,Bag,192.2,2,23.77,46.23,2.21
ORD-00062,2025-05-16,CUS-0319,Japan,APAC,Fashion,Shirt,375.84,4,104.45,36.2,138.25
ORD-00063,2023-01-17,CUS-0391,South Africa,Africa,Electronics,Camera,283.47,1,73.69,-30.56,22.94
ORD-00064,2024-04-19,CUS-0067,Germany,Europe,Groceries,Snacks,10.0,2,-0.94,51.17,10.45
ORD-00065,2024-10-11,CUS-0263,India,APAC,Electronics,Headphone,1659.96,3,27.79,20.59,78.96
ORD-00066,2023-06-14,CUS-0386,South Africa,Africa,Groceries,Fresh Produce,48.0,3,14.52,-30.56,22.94
ORD-00067,2024-02-27,CUS-0128,Germany,Europe,Fashion,Shirt,62.1,1,-2.32,51.17,10.45
ORD-00068,2024-12-23,CUS-0235,France,Europe,Home & Furniture,Storage,522.1,5,100.84,46.23,2.21
ORD-00069,2024-10-17,CUS-0378,South Africa,Africa,Fashion,Bag,88.98,2,15.15,-30.56,22.94
ORD-00070,2023-02-15,CUS-0309,Vietnam,APAC,Groceries,Beverage,54.33,3,-3.22,14.06,108.28
ORD-00071,2023-10-07,CUS-0371,Mexico,LATAM,Home & Furniture,Chair,206.7,3,67.63,23.63,-102.55
ORD-00072,2023-08-31,CUS-0055,India,APAC,Groceries,Dairy,34.65,3,5.84,20.59,78.96
ORD-00073,2024-09-25,CUS-0201,United Kingdom,Europe,Home & Furniture,Table,259.82,2,27.76,55.38,-3.44
ORD-00074,2023-11-28,CUS-0291,France,Europe,Groceries,Beverage,21.24,3,4.87,46.23,2.21
ORD-00075,2024-09-03,CUS-0149,Japan,APAC,Electronics,Headphone,1205.46,3,415.22,36.2,138.25
ORD-00076,2024-02-19,CUS-0365,Canada,North America,Home & Furniture,Lamp,106.02,1,-1.41,56.13,-106.35
ORD-00077,2023-11-16,CUS-0328,Vietnam,APAC,Home & Furniture,Lamp,290.36,2,55.18,14.06,108.28
ORD-00078,2023-11-19,CUS-0014,France,Europe,Groceries,Dairy,13.43,1,1.91,46.23,2.21
ORD-00079,2024-11-30,CUS-0397,United States,North America,Home & Furniture,Chair,555.39,3,163.07,37.09,-95.71
ORD-00080,2023-02-28,CUS-0141,United States,North America,Home & Furniture,Storage,167.22,1,1.25,37.09,-95.71
ORD-00081,2023-10-26,CUS-0003,Nigeria,Africa,Electronics,Laptop,2595.25,5,894.0,9.08,8.68
ORD-00082,2023-09-16,CUS-0073,India,APAC,Groceries,Snacks,49.92,3,15.31,20.59,78.96
ORD-00083,2023-08-13,CUS-0226,Brazil,LATAM,Electronics,Headphone,1318.76,2,96.06,-14.24,-51.93
ORD-00084,2024-04-15,CUS-0241,South Africa,Africa,Home & Furniture,Lamp,563.67,3,44.14,-30.56,22.94
ORD-00085,2023-02-04,CUS-0178,Mexico,LATAM,Home & Furniture,Table,45.78,3,-1.91,23.63,-102.55
ORD-00086,2025-01-04,CUS-0137,Vietnam,APAC,Groceries,Snacks,27.74,2,2.32,14.06,108.28
ORD-00087,2024-11-14,CUS-0038,Mexico,LATAM,Fashion,Bag,25.0,5,7.7,23.63,-102.55
ORD-00088,2024-12-24,CUS-0323,France,Europe,Fashion,Accessories,284.4,4,80.42,46.23,2.21
ORD-00089,2024-11-27,CUS-0059,Brazil,LATAM,Fashion,Shirt,323.4,5,94.54,-14.24,-51.93
ORD-00090,2025-03-21,CUS-0031,Brazil,LATAM,Groceries,Beverage,50.5,5,6.48,-14.24,-51.93
ORD-00091,2023-12-09,CUS-0295,United Kingdom,Europe,Home & Furniture,Storage,253.08,2,23.92,55.38,-3.44
ORD-00092,2025-02-19,CUS-0319,Japan,APAC,Fashion,Accessories,304.96,4,10.81,36.2,138.25
ORD-00093,2025-05-14,CUS-0017,France,Europe,Fashion,Shoes,433.96,4,104.68,46.23,2.21
ORD-00094,2023-01-02,CUS-0007,United States,North America,Electronics,Headphone,653.78,2,15.12,37.09,-95.71
ORD-00095,2024-09-11,CUS-0285,India,APAC,Fashion,Shirt,145.14,3,47.59,20.59,78.96
ORD-00096,2024-08-15,CUS-0236,Vietnam,APAC,Fashion,Accessories,92.8,2,-0.38,14.06,108.28
ORD-00097,2023-06-03,CUS-0320,India,APAC,Electronics,Phone,749.24,2,181.66,20.59,78.96
ORD-00098,2024-09-02,CUS-0387,Nigeria,Africa,Electronics,Camera,741.6,4,8.45,9.08,8.68
ORD-00099,2025-02-28,CUS-0009,Brazil,LATAM,Home & Furniture,Storage,616.15,5,-41.53,-14.24,-51.93
ORD-00100,2025-04-06,CUS-0320,India,APAC,Home & Furniture,Table,206.39,1,1.84,20.59,78.96
ORD-00101,2024-07-06,CUS-0377,United States,North America,Home & Furniture,Storage,289.24,2,13.57,37.09,-95.71
ORD-00102,2023-07-22,CUS-0002,India,APAC,Electronics,Phone,1094.18,2,-26.95,20.59,78.96
ORD-00103,2024-06-23,CUS-0305,India,APAC,Fashion,Bag,81.13,1,17.77,20.59,78.96
ORD-00104,2024-07-06,CUS-0264,Singapore,APAC,Fashion,Shoes,223.48,2,26.01,1.35,103.82
ORD-00105,2023-06-15,CUS-0127,Brazil,LATAM,Electronics,Camera,1290.32,4,303.13,-14.24,-51.93
ORD-00106,2023-08-19,CUS-0221,France,Europe,Groceries,Snacks,24.69,3,-0.02,46.23,2.21
ORD-00107,2024-01-15,CUS-0207,Japan,APAC,Electronics,Headphone,2014.2,4,465.09,36.2,138.25
ORD-00108,2025-07-26,CUS-0382,Japan,APAC,Fashion,Accessories,111.72,2,38.71,36.2,138.25
ORD-00109,2023-05-02,CUS-0186,United States,North America,Home & Furniture,Chair,931.24,4,287.81,37.09,-95.71
ORD-00110,2023-10-29,CUS-0087,Singapore,APAC,Home & Furniture,Storage,138.0,1,27.35,1.35,103.82
ORD-00111,2023-05-02,CUS-0231,Japan,APAC,Home & Furniture,Chair,1098.25,5,7.32,36.2,138.25
ORD-00112,2023-06-06,CUS-0287,Vietnam,APAC,Groceries,Beverage,26.6,4,1.88,14.06,108.28
ORD-00113,2024-08-22,CUS-0107,Nigeria,Africa,Electronics,Headphone,1757.35,5,-148.7,9.08,8.68
ORD-00114,2023-10-04,CUS-0334,Japan,APAC,Home & Furniture,Chair,87.9,1,14.34,36.2,138.25
ORD-00115,2024-02-22,CUS-0012,Mexico,LATAM,Home & Furniture,Storage,488.65,5,-17.3,23.63,-102.55
ORD-00116,2023-08-04,CUS-0234,Vietnam,APAC,Fashion,Bag,81.12,2,16.04,14.06,108.28
ORD-00117,2024-07-28,CUS-0119,Japan,APAC,Home & Furniture,Lamp,648.99,3,209.88,36.2,138.25
ORD-00118,2023-02-09,CUS-0142,Japan,APAC,Electronics,Camera,279.32,1,80.97,36.2,138.25
ORD-00119,2024-01-25,CUS-0089,India,APAC,Fashion,Shirt,177.1,2,43.04,20.59,78.96
ORD-00120,2023-12-01,CUS-0279,Japan,APAC,Groceries,Snacks,35.32,4,6.16,36.2,138.25
ORD-00121,2023-07-19,CUS-0143,South Africa,Africa,Electronics,Headphone,854.3,2,206.49,-30.56,22.94
ORD-00122,2023-09-28,CUS-0265,Canada,North America,Groceries,Snacks,115.0,4,-3.79,56.13,-106.35
ORD-00123,2024-06-26,CUS-0304,United Kingdom,Europe,Electronics,Headphone,521.43,1,101.48,55.38,-3.44
ORD-00124,2023-08-04,CUS-0051,United States,North America,Groceries,Dairy,53.28,4,10.74,37.09,-95.71
ORD-00125,2023-10-19,CUS-0157,Mexico,LATAM,Groceries,Dairy,27.33,3,-1.22,23.63,-102.55
ORD-00126,2023-08-21,CUS-0108,Nigeria,Africa,Home & Furniture,Lamp,676.76,4,61.61,9.08,8.68
ORD-00127,2024-08-12,CUS-0374,Vietnam,APAC,Groceries,Beverage,15.29,1,3.93,14.06,108.28
ORD-00128,2023-08-15,CUS-0271,Mexico,LATAM,Home & Furniture,Storage,325.29,3,92.07,23.63,-102.55
ORD-00129,2023-05-22,CUS-0167,Nigeria,Africa,Home & Furniture,Chair,940.15,5,-53.52,9.08,8.68
ORD-00130,2024-03-23,CUS-0293,Mexico,LATAM,Groceries,Fresh Produce,16.61,1,5.72,23.63,-102.55
